name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Bottled drinking water,6.0,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouillabaisse,41.0,0.063,18.0,125.0,196.0,,0.608,0.294,3.149,0.182,0.06,0.0009,0.127,0.669,0.012
Bovine and pig fresh meat,9.0,0.06,19.0,169.0,303.0,0.009,1.3,3.22,9.297,0.13,0.27,0.00125,0.326,0.2,0.002
"Bovine and pig fresh meat, PROCESS Baking",6.0,0.095,23.0,173.0,285.0,,1.832,4.259,9.061,0.212,0.222,0.0028,0.207,0.361,0.002
"Bovine and pig fresh meat, PROCESS Cooking in water",7.0,0.114,26.0,200.0,302.0,,2.276,5.267,9.764,0.262,0.268,0.0029,0.235,0.48,0.003
"Bovine and pig fresh meat, PROCESS Frying",29.0,0.15,31.0,298.0,697.0,0.015,2.1,5.24,11.445,0.22,0.41,0.00186,0.283,3.2,0.003
"Bovine and pig fresh meat, PROCESS Steaming",7.0,0.114,26.0,200.0,302.0,,2.276,5.267,9.764,0.262,0.268,0.0029,0.235,0.48,0.003
"Bovine and pig fresh meat, QUAL Half fat or medium fat, PROCESS Frying",14.5,0.0928,19.9,170.5,300.7,0.03,1.8,3.9,6.8,0.19,0.2,0.0013,0.51,0.8,
Bovine fresh meat,8.0,0.07,20.0,171.0,324.0,0.008,2.0,4.88,9.7,0.14,0.04,0.00202,0.262,0.5,0.0
"Bovine fresh meat, PROCESS Baking",6.0,0.1,14.0,130.0,204.0,0.006900000000000001,0.63,3.6,5.47,0.18,,0.00065,0.237,0.1,0.0
"Bovine fresh meat, PROCESS Cooking in water",9.0,0.106,21.0,200.0,250.0,0.01,2.2,6.6,11.837,0.22,0.04,0.003,0.19,0.01,0.0
"Bovine fresh meat, PROCESS Frying",19.0,0.1,27.0,218.0,424.0,0.011,2.8,6.27,10.5,0.16,0.07,0.00231,0.24,2.4,0.0
"Bovine fresh meat, PROCESS Steaming",9.0,0.106,21.0,200.0,250.0,0.01,2.2,6.6,11.837,0.22,0.04,0.003,0.19,0.01,0.0
Bovine heart,3.95,0.31,17.0,214.0,240.0,0.014,4.2,1.4,,0.75,0.335,0.01,0.26,0.2,0.0
"Bovine heart, PROCESS Baking",6.0,0.559,25.0,210.0,230.0,0.0389,7.3,2.87,10.88,1.42,0.2,0.014,0.15,0.7,0.0
"Bovine heart, PROCESS Cooking in water",9.0,0.78,25.0,250.0,200.0,,6.2,3.3,11.6,1.2,0.21,0.013,0.05,0.72,0.0
"Bovine heart, PROCESS Frying",8.0,0.287,18.0,158.0,193.0,,4.544,1.372,11.097,1.034,0.518,0.0089,0.268,0.407,0.0
"Bovine heart, PROCESS Steaming",9.0,0.78,25.0,250.0,200.0,,6.2,3.3,11.6,1.2,0.21,0.013,0.05,0.72,0.0
Bovine marrowbone,1.0,0.02,1.0,12.0,13.0,0.021,0.15,0.2,0.283,,0.0,,,,0.0
"Bovine meat, dried",95.0,0.219,55.0,160.0,839.0,,9.7,15.552,26.6,0.25,0.15,0.0017800000000000001,0.594,0.898,0.0
"Bovine meat, dried, PROCESS Cooking in water",15.0,0.02,16.0,135.0,40.0,,1.6,6.4,1.7,0.12,0.07,0.0018,0.15,,
"Bovine meat, dried, PROCESS Steaming",15.0,0.02,16.0,135.0,40.0,,1.6,6.4,1.7,0.12,0.07,0.0018,0.15,,
Bovine stomach,15.0,0.09,8.0,79.0,19.0,,1.95,2.47,8.183,0.07,0.02,0.0,0.04,0.08,0.0
"Bovine stomach, PROCESS Baking",18.0,0.087,8.0,76.0,17.0,,2.236,2.534,8.697,0.08,0.021,0.0,0.039,0.097,0.0
"Bovine stomach, PROCESS Cooking in water",18.0,0.087,8.0,76.0,17.0,,2.236,2.534,8.697,0.08,0.021,0.0,0.039,0.097,0.0
"Bovine stomach, PROCESS Frying",18.0,0.087,8.0,76.0,17.0,,2.236,2.534,8.697,0.08,0.021,0.0,0.039,0.097,0.0
"Bovine stomach, PROCESS Steaming",18.0,0.087,8.0,76.0,17.0,,2.236,2.534,8.697,0.08,0.021,0.0,0.039,0.097,0.0
Bovine tail,9.0,0.2,20.0,160.0,270.0,,2.7,5.6,8.8,0.29,0.03,0.003,0.27,0.29,0.0
"Bovine tail, PROCESS Cooking in water",14.0,0.27,18.0,140.0,170.0,,3.8,8.8,9.8,0.28,0.02,0.002,0.14,0.45,0.0
"Bovine tail, PROCESS Frying",5.0,0.109,26.0,223.0,388.0,,2.842,5.105,10.248,0.214,0.086,0.0023,0.173,0.552,0.0
"Bovine tail, PROCESS Steaming",14.0,0.27,18.0,140.0,170.0,,3.8,8.8,9.8,0.28,0.02,0.002,0.14,0.45,0.0
Bovine tongue,7.0,0.13,18.0,160.0,290.0,0.002,2.5,3.4,6.74,0.34,0.08,0.004900000000000001,0.125,0.1,0.0
"Bovine tongue, PROCESS Baking",14.5,0.127,9.4,165.0,150.0,0.0022,2.9,2.2,7.841,0.294,0.05,0.0044,0.155,0.3,0.0
"Bovine tongue, PROCESS Cooking in water",9.0,0.09,13.0,140.0,140.0,0.0022,2.5,3.8,7.841,0.28,0.04,0.004,0.09,0.258,0.0
"Bovine tongue, PROCESS Frying",14.5,0.127,9.4,165.0,150.0,0.0022,2.9,2.2,7.841,0.294,0.05,0.0044,0.155,0.3,0.0
"Bovine tongue, PROCESS Steaming",9.0,0.09,13.0,140.0,140.0,0.0022,2.5,3.8,7.841,0.28,0.04,0.004,0.09,0.258,0.0
Brandy,,0.16,,,,0.0,0.0,0.2,,,,0.0,,0.0,0.0
Bread and rolls with special ingredients added,40.0,0.46,102.0,253.0,284.0,0.01,2.3,1.88,3.6,0.08,0.29,,0.245,4.7,0.0
"Bread and rolls with special ingredients added, FORT Protein and amino acids supplements",87.0,0.147,36.0,160.0,201.0,,1.332,1.327,3.195,0.153,0.213,0.0001,0.092,0.365,0.0
Bread stuffing,71.0,0.11,17.0,86.0,170.0,0.002,1.4,0.5,2.1,0.06,0.11,0.0003,0.1,5.38,
Breadcrumbs,18.0,0.3,13.0,100.0,300.0,0.005,1.2,0.9,3.63,0.2,0.5,0.0,0.035,0.8,0.0
Breakfast-type sausage,26.6,0.06,17.3,228.0,219.0,0.00604,0.69,1.05,4.17,0.13,0.314,0.00062,0.12,0.34,
"Breakfast-type sausage, PROCESS Baking",110.0,0.11,15.0,220.0,190.0,0.006,1.1,1.4,5.713,0.13,0.397,0.001,0.12,0.92,0.009
"Breakfast-type sausage, PROCESS Cooking in water",12.0,0.086,22.0,114.0,229.0,0.0048,0.875,1.845,5.713,0.169,0.397,0.0013,0.264,0.309,0.009
"Breakfast-type sausage, PROCESS Frying",110.0,0.12,15.0,220.0,180.0,0.006,1.1,1.1,5.1,0.13,0.4,0.001,0.09,0.86,
"Breakfast-type sausage, PROCESS Steaming",12.0,0.086,22.0,114.0,229.0,,0.875,1.845,5.713,0.169,0.397,0.0013,0.264,0.309,0.009
"Bream, silver",40.0,0.05,23.0,230.0,270.0,,0.5,0.3,8.7,0.1,0.08,0.002,0.46,,
Broad beans (dry),100.0,0.82,190.0,590.0,1090.0,0.0025,5.5,3.1,6.8,0.26,0.5,0.0,0.37,0.27,0.0
"Broad beans (dry), PROCESS Baking",39.0,0.264,74.0,175.0,377.0,,2.153,1.285,2.545,0.09,0.1,0.0,0.119,0.112,0.0
"Broad beans (dry), PROCESS Cooking in water",18.0,0.13,19.0,100.0,190.0,0.0018,0.8,0.7,3.8,0.06,0.1,0.0,0.08,0.4,0.0
"Broad beans (dry), PROCESS Steaming",18.0,0.13,19.0,100.0,190.0,0.0018,0.8,0.7,3.8,0.06,0.1,0.0,0.08,0.4,0.0
Broad beans (without pods),20.0,0.11,28.0,100.0,400.0,0.001,0.9,0.9,2.767,0.15,0.1,0.0,0.07,0.5,0.0
"Broad beans (without pods), PROCESS Cooking in water",20.0,0.13,19.0,100.0,400.0,0.003,0.8,0.7,1.7,0.15,0.1,0.0,0.07,0.4,0.0
"Broad beans (without pods), PROCESS Steaming",20.0,0.13,19.0,100.0,400.0,0.003,0.8,0.7,1.7,0.15,0.1,0.0,0.07,0.4,0.0
Broccoli and similar-,38.0,0.04,12.0,69.0,227.0,,0.6,0.32,1.7,0.11,0.07,0.0,0.199,0.9,0.185
"Broccoli and similar-, PROCESS Baking",22.5,0.053,24.0,83.7,483.0,0.0011,0.9,0.43,1.67,0.16,0.12,0.0,0.28,0.9,0.156
"Broccoli and similar-, PROCESS Cooking in water",33.0,0.06,19.0,97.0,399.0,,0.9,0.62,1.45,0.07,0.04,0.0,0.077,2.5,0.156
"Broccoli and similar-, PROCESS Frying",61.0,0.062,18.0,66.0,241.0,,0.739,0.462,1.667,0.177,0.09,0.0,0.263,0.654,0.188
"Broccoli and similar-, PROCESS Steaming",33.0,0.06,19.0,97.0,399.0,,0.9,0.62,1.667,0.07,0.04,0.0,0.077,2.5,0.156
Brussels sprouts,30.0,0.02,8.0,125.0,412.0,0.003,0.6,0.4,1.503,0.12,0.12,0.0,0.3,1.0,0.153
"Brussels sprouts, PROCESS Baking",50.9,0.019,10.9,30.1,240.0,0.000767,0.305,0.145,0.55,0.036,0.049,0.0,0.156,0.02,0.127
"Brussels sprouts, PROCESS Cooking in water",38.0,0.06,22.0,85.0,412.0,0.01,0.6,0.31,1.29,0.08,0.09,0.0,0.192,0.6,0.127
"Brussels sprouts, PROCESS Steaming",38.0,0.06,22.0,85.0,412.0,0.01,0.6,0.31,1.1,0.08,0.09,0.0,0.192,0.6,
Buckwheat flour,15.0,0.56,117.0,150.0,200.0,0.009,2.0,2.0,4.17,0.05,0.2,0.0,0.25,0.3,0.007
Buckwheat groats,12.0,0.7,80.0,150.0,218.0,0.009,2.0,1.1,4.97,0.07,0.28,0.0,0.4,0.1,
Buns,50.0,0.25,29.0,105.0,384.0,0.003,1.7,0.64,2.8,0.1,0.07,,0.097,0.7,0.001
Butter,17.0,0.01,2.0,23.0,27.0,0.001,0.1,0.09,0.217,0.03,0.01,0.0003,,1.9,
Butter and margarine/oil blends,15.0,0.03,2.0,24.0,15.0,,0.2,0.1,0.1,0.02,,,,2.9,
"Butter and margarine/oil blends, QUAL Half fat or medium fat",11.0,,1.0,40.0,32.0,,0.1,0.0,0.0,0.0,0.0,0.0003,0.0,0.8,
"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",11.0,0.01,1.0,40.0,32.0,0.001,0.1,0.0,0.0,0.0,0.0,0.0003,0.0,25.0,
Butter biscuits,28.0,0.09,19.0,90.0,121.0,0.003,1.2,0.46,1.63,0.04,0.03,5e-05,0.035,2.2,
Butter oil,18.0,0.04,2.0,29.0,18.0,0.0006,0.2,0.1,0.11,0.02,0.0,0.0,0.001,2.4,0.008
Butter sauce,26.3,0.1,4.3,24.0,36.6,0.0004,0.25,0.1,0.16,0.04,0.073,8e-05,0.044,0.47,0.0
"Butter, QUAL Half fat or medium fat",11.0,0.009,1.0,40.0,32.0,0.0005,0.1,,1.017,,,0.0003,,0.8,0.0
"Butter, QUAL Low fat (naturally or reduced)",11.0,0.01,1.0,40.0,32.0,0.001,0.1,,1.017,,,0.0003,,,0.0
Buttermilk,108.0,,10.0,93.0,140.0,0.001,,0.41,0.883,0.15,0.02,0.00013000000000000002,0.028,,0.0
"Buttermilk, QUAL Fat free",108.0,0.0,10.0,93.0,140.0,0.001,0.0,0.41,0.1,0.15,0.02,0.00013000000000000002,0.028,0.0,
"Buttermilk, QUAL Low fat (naturally or reduced)",108.0,,10.0,93.0,140.0,0.001,,0.41,0.9,0.15,0.02,0.00013000000000000002,0.028,,0.0
"Cake marbled, with chocolate",33.0,0.05,12.0,134.0,123.0,0.0025,0.7,0.4,2.025,0.21,0.14,0.00020999999999999998,0.07,4.0,0.003
Camomile infusion,2.0,0.015,1.0,0.0,9.0,0.0001,0.08,0.04,0.0,0.004,0.01,0.0,0.0,0.04,
"Candied fruit, cherry",56.0,0.08,5.0,9.0,24.0,,0.9,0.1,0.162,0.03,0.031,0.0,0.016,0.046,0.001
"Candied fruit, mixed fruit",60.0,,,7.0,,,1.5,,0.5,0.04,0.05,,,,
"Candied fruit, orange peel",250.0,0.046,15.0,12.0,160.0,0.007,1.0,0.033,0.4,0.08,0.06,0.0,0.172,0.112,0.0
Canned fruit cocktail,14.0,0.14,5.0,8.0,60.0,,0.3,0.08,0.4,,0.01,0.0,0.015,0.8,0.002
"Canned fruit cocktail, MEDIUM In diluted sweet liquid-syrup",14.0,0.14,5.0,8.0,60.0,,0.3,0.08,0.5,,0.01,0.0,0.015,0.8,0.001
"Canned fruit cocktail, MEDIUM In fruit/vegetable juice",9.0,0.04,7.0,14.0,95.0,0.0001,0.4,0.1,0.4,0.01,0.01,0.0,0.04,0.148,0.001
Canned meat,22.0,0.06,10.0,150.0,78.0,0.007,1.1,1.4,6.83,0.08,0.5,0.00044,0.091,0.2,0.0
Canned mushrooms,20.0,0.29,6.0,70.0,150.0,0.002,0.1,0.6,2.672,0.2,0.02,0.0,0.03,,
"Canned mushrooms, PROCESS Baking",40.0,0.273,30.0,139.0,197.0,,1.702,0.749,3.15,0.21,0.031,0.0,0.084,0.103,0.018
"Canned mushrooms, PROCESS Cooking in water",20.0,0.29,6.0,70.0,150.0,0.002,0.1,0.6,2.238,0.2,0.02,0.0,0.03,,
"Canned mushrooms, PROCESS Steaming",20.0,0.29,6.0,70.0,150.0,0.002,0.1,0.6,3.538,0.2,0.02,0.0,0.03,,
Canned or jarred apple,9.0,0.006,4.5,6.0,80.0,3.1e-05,0.3,0.039,0.117,0.017,0.021,0.0,0.03,0.01,
"Canned or jarred apple, MEDIUM In diluted sweet liquid-syrup",6.26,0.071,4.0,13.4,66.0,0.000212,0.18,0.13,0.13,0.025,0.01,0.0,0.014,0.2,0.003
"Canned or jarred apple, MEDIUM In fruit/vegetable juice",5.0,0.031,3.0,6.0,54.0,,0.166,0.025,0.145,0.004,0.005,0.0,0.018,0.278,0.003
Canned or jarred apricot,19.0,0.03,5.0,8.0,150.0,,0.2,0.1,0.6,0.01,0.01,0.0,0.06,0.9,0.005
"Canned or jarred apricot, MEDIUM In diluted sweet liquid-syrup",19.0,0.03,5.0,8.0,150.0,,0.2,0.1,0.428,0.01,0.01,0.0,0.06,0.9,0.002
"Canned or jarred apricot, MEDIUM In fruit/vegetable juice",11.0,0.079,8.0,13.0,138.0,0.0002,0.39,0.11,0.454,0.02,0.016,0.0,0.054,0.89,0.002
Canned or jarred chickpea,150.0,0.146,240.0,560.0,,0.011,4.0,5.0,10.7,0.31,0.75,0.0,0.57,,0.2
Canned or jarred common beans,39.0,0.25,34.0,100.0,296.0,0.001,1.5,0.56,1.65,0.04,0.06,0.0,0.068,0.2,0.07
Canned or jarred cranberry,19.0,0.616,5.0,24.0,75.0,,3.696,0.177,0.483,0.021,0.01,0.0,0.021,1.341,0.008
"Canned or jarred cranberry, MEDIUM In diluted sweet liquid-syrup",9.28,0.091,8.0,10.0,94.0,0.0006,,0.082,0.233,0.01,0.08,0.0,0.07,0.03,0.005
"Canned or jarred cranberry, MEDIUM In fruit/vegetable juice",12.0,0.39,4.0,16.0,59.0,,2.6,0.112,0.44,0.02,0.01,0.0,0.02,0.849,0.005
Canned or jarred lentils,20.0,0.12,15.8,52.0,128.0,0.0028,1.7,0.6,1.306,0.03,0.07,0.0,0.07,0.19,0.005
Canned or jarred mandarin,17.0,,7.0,8.0,49.0,,0.2,0.12,0.139,0.01,0.06,0.0,0.03,,0.003
"Canned or jarred mandarin, MEDIUM In diluted sweet liquid-syrup",17.0,,7.0,8.0,49.0,0.0,0.2,0.12,0.118,0.01,0.06,0.0,0.03,,0.002
"Canned or jarred mandarin, MEDIUM In fruit/vegetable juice",17.0,0.033,9.0,13.0,85.0,,0.5,0.1,0.3,0.01,0.08,0.0,0.03,0.182,0.002
Canned or jarred mixed fruit,14.0,0.14,5.0,8.0,60.0,0.0,0.3,0.08,0.4,,0.01,0.0,0.015,0.8,0.002
"Canned or jarred mixed fruit, MEDIUM In diluted sweet liquid-syrup",14.0,0.14,5.0,8.0,60.0,,0.3,0.08,0.5,,0.01,0.0,0.015,0.8,0.001
"Canned or jarred mixed fruit, MEDIUM In fruit/vegetable juice",10.0,0.04,7.0,16.0,209.0,0.0001,0.4,0.1,0.6,0.03,0.02,0.0,0.04,0.148,0.001
Canned or jarred peach,3.0,0.1,5.0,11.0,110.0,0.0005,0.2,0.06,0.713,0.01,0.01,0.0,0.02,0.872,0.002
"Canned or jarred peach, MEDIUM In diluted sweet liquid-syrup",3.0,0.04,5.0,11.0,110.0,0.0002,0.2,0.2,0.7,0.01,0.01,0.0,0.02,0.55,0.001
"Canned or jarred peach, MEDIUM In fruit/vegetable juice",4.0,0.04,7.0,19.0,170.0,,0.4,0.1,0.7,0.01,0.01,0.0,0.02,0.545,0.001
Canned or jarred pear,14.0,0.04,5.0,8.0,65.0,,0.2,0.06,0.133,,0.01,0.0,0.019,0.4,0.0
"Canned or jarred pear, MEDIUM In diluted sweet liquid-syrup",14.0,0.04,5.0,8.0,65.0,,0.2,0.06,0.454,,0.01,0.0,0.019,0.4,0.0
"Canned or jarred pear, MEDIUM In fruit/vegetable juice",6.0,0.07,5.0,10.0,81.0,,0.2,0.1,0.2,0.01,0.01,0.0,0.03,0.245,0.0
Canned or jarred peas,36.0,0.17,23.0,100.0,120.0,0.001,1.6,0.95,2.1,0.07,0.1,0.0,0.091,0.3,
Canned or jarred pineapple,10.0,0.05,12.0,11.0,99.0,,0.3,0.08,0.2,,0.06,0.0,0.063,0.1,0.0
"Canned or jarred pineapple, MEDIUM In diluted sweet liquid-syrup",10.0,0.05,12.0,11.0,99.0,,0.3,0.08,0.3,,0.06,0.0,0.063,0.1,0.0
"Canned or jarred pineapple, MEDIUM In fruit/vegetable juice",8.0,0.08,13.0,5.0,71.0,0.0,0.5,0.1,0.3,0.01,0.09,0.0,0.09,0.05,0.0
Canned or jarred plum,9.0,0.04,4.0,10.0,79.0,0.0,0.1,0.07,0.402,0.01,0.01,0.0,0.02,0.3,0.006
"Canned or jarred plum, MEDIUM In diluted sweet liquid-syrup",9.0,0.04,4.0,10.0,79.0,,0.1,0.07,0.383,0.01,0.01,0.0,0.02,0.3,0.004
"Canned or jarred plum, MEDIUM In fruit/vegetable juice",10.0,0.07,7.0,14.0,118.0,,1.1,0.093,0.39,0.027,0.028,0.0,0.019,0.483,0.004
Canned or jarred sour cherry,10.0,0.093,8.0,17.0,67.0,,0.499,0.57,0.31,0.026,0.023,0.0,0.023,0.119,0.0
"Canned or jarred sour cherry, MEDIUM In diluted sweet liquid-syrup",5.32,0.043,5.5,16.9,150.0,0.000156,0.15,0.31,0.633,0.025,0.01,0.0,0.019,5.1,0.0
"Canned or jarred sour cherry, MEDIUM In fruit/vegetable juice",6.0,0.058,5.0,11.0,52.0,,0.345,0.355,0.253,0.025,0.022,0.0,0.022,0.074,0.0
Canned or jarred sweet cherry,15.0,0.05,7.0,13.0,120.0,0.001,0.2,0.05,0.25,0.01,0.02,0.0,0.22,0.1,0.002
"Canned or jarred sweet cherry, MEDIUM In diluted sweet liquid-syrup",15.0,0.05,7.0,13.0,120.0,0.001,0.2,0.05,0.2,0.01,0.02,0.0,0.22,0.1,0.001
"Canned or jarred sweet cherry, MEDIUM In fruit/vegetable juice",12.0,0.058,8.0,19.4,107.0,0.0003,0.217,0.045,0.198,0.018,0.017,0.0,0.019,0.04,0.001
Canned/jarred fish in brine-deprecated,91.0,0.05,25.0,170.0,316.0,0.025,0.9,0.8,7.9,0.22,0.02,0.004,0.21,2.1,
Canned/jarred fish in oil-deprecated,12.0,0.2,33.0,200.0,291.0,0.09,1.6,1.1,20.77,0.12,0.02,0.005,0.51,3.5,
"Canned/jarred fish in vinegar, pickles or sauces-deprecated",150.0,0.12,61.0,250.0,295.0,0.024,2.0,0.53,13.3,0.2,,0.0104,0.1,3.6,
Canned/jarred smoked fish in oil-deprecated,49.0,0.04,54.0,251.0,415.0,0.0354,1.4,0.5,6.105,0.05,0.05,0.0016,0.4,,0.0
Capers buds,40.0,0.37,33.0,10.0,40.0,0.001,1.7,0.32,0.787,0.14,0.02,0.0,0.023,0.9,0.0
Carambolas,5.0,0.12,6.0,15.0,150.0,0.001,0.6,0.1,0.6,0.03,0.03,0.0,0.017,0.2,0.0
"Caramel, hard",73.0,0.02,8.0,,86.0,0.001,0.2,0.32,0.117,0.0,0.0,0.0,0.0,0.2,0.0
"Caramel, hard, QUAL Low / Reduced sugar",1.0,0.005,1.0,,2.0,0.0,,0.018,0.017,0.0,0.0,0.0,0.001,0.0,0.0
"Caramel, hard, QUAL Sugar free",1.0,0.005,1.0,0.0,2.0,,0.0,0.018,0.017,0.0,0.0,0.0,0.001,0.0,0.0
"Caramel, soft",73.0,0.02,8.0,62.0,86.0,0.001,0.2,0.32,0.4,0.0,0.0,0.0,0.0,0.2,0.0
"Caramel, soft, QUAL Low / Reduced sugar",1.0,0.005,1.0,0.0,2.0,,0.0,0.018,0.017,0.0,0.0,0.0,0.001,0.0,0.0
"Caramel, soft, QUAL Sugar free",1.0,0.005,1.0,0.0,2.0,,0.0,0.018,0.017,0.0,0.0,0.0,0.001,0.0,0.0
Caraway fruit,950.0,1.06,260.0,510.0,1350.0,0.0052,32.3,5.2,8.567,0.38,0.38,0.0,0.2,,0.0
Carbohydrate-electrolyte solutions for sports people,,,3.0,,6.0,,,,0.102,,,0.0,,,0.002
Cardamom fruit,130.0,1.3,230.0,170.0,1120.0,,100.0,2.6,3.317,0.18,0.2,0.0,0.2,0.0,0.0
Cardoons,52.0,0.024,31.6,20.4,397.0,0.0002,0.45,0.31,1.433,0.035,0.02,0.0,0.043,0.19,0.0
"Cardoons, PROCESS Cooking in water",56.0,0.338,17.0,130.0,196.0,,1.251,0.395,1.184,0.009,0.101,0.0,0.07,0.211,0.0
"Cardoons, PROCESS Steaming",56.0,0.338,17.0,130.0,196.0,,1.251,0.395,1.184,0.009,0.101,0.0,0.07,0.211,0.0
Carps,66.0,0.087,55.0,255.0,400.0,,0.7,0.737,5.4,0.053,0.068,0.0015,0.15,0.5,0.003
"Carps, PROCESS Baking",40.0,0.17,26.0,373.0,337.0,0.0202,1.3,1.25,5.35,0.05,0.05,0.0015,0.22,0.63,0.003
"Carps, PROCESS Cooking in water",83.0,0.099,59.0,273.0,377.0,,0.705,0.927,4.54,0.047,0.064,0.0015,0.132,0.566,0.003
"Carps, PROCESS Frying",81.0,0.101,61.0,281.0,416.0,,0.727,0.901,5.624,0.058,0.067,0.0017,0.147,0.571,0.003
"Carps, PROCESS Steaming",83.0,0.099,59.0,273.0,377.0,,0.705,0.927,4.54,0.047,0.064,0.0015,0.132,0.566,0.003
Carrots,27.0,0.03,7.0,29.0,266.0,,0.2,0.22,0.7,0.03,0.02,0.0,0.084,0.5,0.015
"Carrots, PROCESS Baking",23.0,0.061,13.0,39.0,389.0,0.001,0.39,0.28,0.787,0.015,0.109,0.0,0.165,0.482,0.016
"Carrots, PROCESS Cooking in water",28.0,0.04,7.0,27.0,214.0,,0.2,0.23,0.5,0.02,0.02,0.0,0.068,0.8,0.016
"Carrots, PROCESS Frying",93.7,0.23,25.0,80.5,587.0,0.0002,1.3,1.4,1.25,,0.14,0.0,0.18,,
"Carrots, PROCESS Steaming",28.0,0.04,7.0,27.0,214.0,,0.2,0.23,0.5,0.02,0.02,0.0,0.068,0.8,0.015
Cashew nuts,44.0,1.7,269.0,607.0,682.0,0.037,6.7,5.8,8.3,0.13,0.23,0.0,0.195,1.9,0.0
"Cashew nuts, PROCESS Baking",35.0,2.04,250.0,510.0,730.0,,6.2,5.7,7.483,0.16,0.41,0.0,0.43,1.3,0.0
"Cashew nuts, PROCESS Cooking in water",33.0,1.479,225.0,462.0,530.0,,5.588,4.753,6.494,0.138,0.387,0.0,0.38,5.541,0.0
"Cashew nuts, PROCESS Steaming",38.0,2.064,259.0,501.0,690.0,,6.423,5.161,6.725,0.18,0.465,0.0,0.425,6.015,0.0
Cassava roots,18.0,0.09,21.0,34.0,330.0,,0.5,0.6,0.9,0.02,0.06,0.0,0.304,0.0,0.0
"Cassava roots, PROCESS Baking",19.0,0.09,26.0,36.0,350.0,,0.5,0.7,0.83,0.02,0.04,0.0,0.17,0.0,0.0
"Cassava roots, PROCESS Cooking in water",17.0,0.09,18.0,39.0,260.0,,0.5,0.3,0.767,0.02,0.04,0.0,0.156,0.0,0.0
"Cassava roots, PROCESS Steaming",17.0,0.09,18.0,39.0,260.0,,0.5,0.3,0.767,0.02,0.04,0.0,0.156,0.0,0.0
Cassia buds,300.0,1.2,200.0,100.0,1000.0,,10.0,2.0,2.717,0.2,0.1,0.0,0.0,0.0,0.0
Catfishes (freshwater),35.0,0.11,25.0,180.0,282.0,0.0575,1.0,0.4,5.33,0.045,0.18,0.0022,0.35,2.4,0.0
"Catfishes (freshwater), PROCESS Baking",32.0,0.127,60.0,170.0,445.0,,0.62,0.487,4.961,0.033,0.039,0.0023,0.185,0.568,0.0
"Catfishes (freshwater), PROCESS Cooking in water",18.0,0.07,36.0,240.0,320.0,,0.6,0.9,6.7,0.09,0.23,0.003,0.46,2.8,0.0
"Catfishes (freshwater), PROCESS Frying",32.0,0.127,60.0,170.0,445.0,,0.62,0.487,4.961,0.033,0.039,0.0023,0.185,0.568,0.0
"Catfishes (freshwater), PROCESS Steaming",18.0,0.07,36.0,240.0,320.0,,0.6,0.9,6.7,0.09,0.23,0.003,0.46,2.8,0.0
Cauliflowers,28.0,0.03,12.0,48.0,296.0,,0.3,0.37,1.4,0.06,0.04,0.0,0.132,,0.031
"Cauliflowers, PROCESS Baking",44.5,0.031,14.0,34.1,292.0,0.001,0.45,0.19,0.783,0.05,0.065,0.0,0.15,0.07,0.0285
"Cauliflowers, PROCESS Cooking in water",25.0,0.05,9.0,47.0,224.0,,0.3,0.26,1.1,0.05,0.02,0.0,0.063,0.1,0.0285
"Cauliflowers, PROCESS Steaming",25.0,0.05,9.0,47.0,224.0,,0.3,0.26,1.181,0.05,0.02,0.0,0.063,0.1,0.0285
Ceasar salad,19.9,0.0593,21.2,82.1,321.8,0.004,0.7,0.6,2.8,0.09,0.09,0.0002,0.21,1.2,
Celeriacs,80.0,0.04,9.0,90.0,400.0,0.001,1.0,0.31,1.1,0.03,0.03,0.0,0.125,0.5,0.041
"Celeriacs, PROCESS Baking",55.0,0.13,15.0,76.0,455.0,,0.484,0.438,1.223,0.073,0.036,0.0,0.198,0.55,0.045
"Celeriacs, PROCESS Cooking in water",80.0,0.03,13.0,90.0,400.0,0.003,1.0,0.1,1.0,0.03,0.03,0.0,0.09,0.5,0.04
"Celeriacs, PROCESS Steaming",80.0,0.03,13.0,90.0,400.0,0.003,1.0,0.1,1.53,0.03,0.03,0.0,0.09,0.5,0.043
Celeries,80.0,0.01,12.0,40.0,320.0,,0.5,0.1,0.9,0.15,0.08,0.0,0.1,0.2,0.029
"Celeries, PROCESS Cooking in water",80.0,0.01,4.0,40.0,320.0,0.003,0.5,0.1,0.9,0.15,0.08,0.0,0.06,0.2,0.032
"Celeries, PROCESS Steaming",80.0,0.01,4.0,40.0,320.0,0.003,0.5,0.1,1.2,0.15,0.08,0.0,0.06,0.2,
Celery leaves,80.0,0.22,10.0,40.0,700.0,0.0027,0.1,1.2,3.5,0.1,0.06,0.0,1.2,1.7,0.0
"Celtuce, PROCESS Steaming",42.3,0.053,10.0,45.6,236.0,0.000558,0.9,0.29,0.9,0.1,0.07,0.0,0.25,0.55,
